Ref,Val,Package,PosX,PosY,Rot,Side
"LOGO56","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-112.6236,-90.0000,bottom
"LOGO57","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-101.1936,180.0000,bottom
"LOGO58","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-99.4156,-90.0000,bottom
"LOGO59","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-101.1936,180.0000,bottom
"LOGO60","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-99.4156,-90.0000,bottom
"LOGO61","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-101.1936,180.0000,bottom
"LOGO62","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-99.4156,-90.0000,bottom
"LOGO63","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-101.1936,180.0000,bottom
"LOGO64","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-99.4156,-90.0000,bottom
"LOGO65","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-101.1936,180.0000,bottom
"LOGO66","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-99.4156,-90.0000,bottom
"LOGO67","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-101.1936,180.0000,bottom
"LOGO68","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-99.4156,-90.0000,bottom
"LOGO69","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-101.1936,180.0000,bottom
"LOGO70","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-99.4156,-90.0000,bottom
"LOGO71","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-87.9856,180.0000,bottom
"LOGO72","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-86.2076,-90.0000,bottom
"LOGO73","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-87.9856,180.0000,bottom
"LOGO74","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-86.2076,-90.0000,bottom
"LOGO75","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",135.4201,-87.9856,180.0000,bottom
"LOGO76","OSHW-LOGOS","OSHW-LOGO-S",131.9911,-86.2076,-90.0000,bottom
"LOGO77","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",151.1681,-87.9856,180.0000,bottom
"LOGO78","OSHW-LOGOS","OSHW-LOGO-S",147.7391,-86.2076,-90.0000,bottom
"LOGO79","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",166.9161,-87.9856,180.0000,bottom
"LOGO80","OSHW-LOGOS","OSHW-LOGO-S",163.4871,-86.2076,-90.0000,bottom
"LOGO81","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",182.6641,-87.9856,180.0000,bottom
"LOGO82","OSHW-LOGOS","OSHW-LOGO-S",179.2351,-86.2076,-90.0000,bottom
"LOGO83","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",198.4121,-87.9856,180.0000,bottom
"LOGO84","OSHW-LOGOS","OSHW-LOGO-S",194.9831,-86.2076,-90.0000,bottom
"LOGO85","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",103.9241,-74.7776,180.0000,bottom
"LOGO86","OSHW-LOGOS","OSHW-LOGO-S",100.4951,-72.9996,-90.0000,bottom
"LOGO87","SFE_LOGO_FLAME.1_INCH","SFE_LOGO_FLAME_.1",119.6721,-74.7776,180.0000,bottom
"LOGO88","OSHW-LOGOS","OSHW-LOGO-S",116.2431,-72.9996,-90.0000,bottom
